CONSOLIDATED MULTNOMAH COUNTY WASHINGTON COUNTY AND CLACKAMAS COUNTY ELECTION RESULTS
City of Portland Councilor District 4
ELECTION RESULTS - FINAL

Contest,City of Portland Councilor District 4
Election Date,November 05 2024
Report Date,December 02 2024 03:04:55 PM
Registered Voters in District,120150
Election Threshold,19180 votes (25% +1)

,Round 1,,,Round 2,,,Round 3,,,Round 4,,,Round 5,,,Round 6,,,Round 7,,,Round 8,,,Round 9,,,Round 10,,,Round 11,,,Round 12,,,Round 13,,,Round 14,,,Round 15,,,Round 16,,,Round 17,,,Round 18,,,Round 19,,,Round 20,,,Round 21,,,Round 22,,,Round 23,,,Round 24,,,Round 25,,,Round 26,,,Round 27,,,Round 28,,,Round 29,,,Round 30,,,Round 31,,,Round 32,
Lisa Freeman,3749.0000,4.89%,,3749.0000,4.89%,+3.0000,3752.0000,4.89%,+2.0000,3754.0000,4.89%,+4.0000,3758.0000,4.90%,+5.0000,3763.0000,4.91%,+19.0000,3782.0000,4.93%,+0.1020,3782.1020,4.93%,+5.0002,3787.1022,4.94%,+27.0002,3814.1024,4.97%,+29.0004,3843.1028,5.01%,+9.0000,3852.1028,5.02%,+32.0005,3884.1033,5.06%,+45.0004,3929.1037,5.12%,+61.0020,3990.1057,5.20%,+84.0009,4074.1066,5.31%,+58.0006,4132.1072,5.39%,+106.0026,4238.1098,5.52%,+69.0013,4307.1111,5.61%,+62.0023,4369.1134,5.70%,+276.0024,4645.1158,6.05%,+97.0008,4742.1166,6.18%,+331.0015,5073.1181,6.61%,+102.0026,5175.1207,6.75%,+195.0036,5370.1243,7.00%,+303.0056,5673.1299,7.39%,-5673.1299,,,,,,,,,,,,,,,,,
Tony Morse,2004.0000,2.61%,,2004.0000,2.61%,+5.0000,2009.0000,2.62%,+4.0000,2013.0000,2.62%,+2.0000,2015.0000,2.63%,+4.0000,2019.0000,2.63%,+1.0000,2020.0000,2.63%,+0.0458,2020.0458,2.63%,+2.0000,2022.0458,2.64%,+9.0006,2031.0464,2.65%,+11.0000,2042.0464,2.66%,+13.0000,2055.0464,2.68%,+10.0003,2065.0467,2.69%,+1.0001,2066.0468,2.69%,+10.0001,2076.0469,2.71%,+15.0002,2091.0471,2.73%,+22.0003,2113.0474,2.75%,+46.0011,2159.0485,2.81%,+50.0022,2209.0507,2.88%,+61.0015,2270.0522,2.96%,+60.0010,2330.0532,3.04%,+104.0004,2434.0536,3.17%,+105.0003,2539.0539,3.31%,+120.0019,2659.0558,3.47%,-2659.0558,,,,,,,,,,,,,,,,,,,,,,,
Ben Hufford,1694.0000,2.21%,,1694.0000,2.21%,+4.0000,1698.0000,2.21%,,1698.0000,2.21%,+2.0000,1700.0000,2.22%,+5.0000,1705.0000,2.22%,+1.0000,1706.0000,2.22%,+0.0356,1706.0356,2.22%,+3.0000,1709.0356,2.23%,+2.0000,1711.0356,2.23%,+3.0000,1714.0356,2.23%,+4.0000,1718.0356,2.24%,+12.0001,1730.0357,2.26%,+3.0000,1733.0357,2.26%,+8.0000,1741.0357,2.27%,+9.0002,1750.0359,2.28%,+17.0009,1767.0368,2.30%,+65.0007,1832.0375,2.39%,+77.0007,1909.0382,2.49%,+57.0015,1966.0397,2.56%,+57.0004,2023.0401,2.64%,+66.0004,2089.0405,2.72%,+18.0001,2107.0406,2.75%,-2107.0406,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Goldsmith,1432.0000,1.87%,,1432.0000,1.87%,+3.0000,1435.0000,1.87%,+10.0000,1445.0000,1.88%,,1445.0000,1.88%,+1.0000,1446.0000,1.88%,+8.0000,1454.0000,1.90%,+0.0073,1454.0073,1.90%,+5.0000,1459.0073,1.90%,+6.0002,1465.0075,1.91%,+3.0000,1468.0075,1.91%,+60.0000,1528.0075,1.99%,+3.0001,1531.0076,2.00%,+11.0003,1542.0079,2.01%,+12.0001,1554.0080,2.03%,+10.0001,1564.0081,2.04%,+24.0000,1588.0081,2.07%,+39.0005,1627.0086,2.12%,+36.0004,1663.0090,2.17%,+33.0004,1696.0094,2.21%,+35.0004,1731.0098,2.26%,-1731.0098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andra Vltavin,1355.0000,1.77%,,1355.0000,1.77%,+1.0000,1356.0000,1.77%,+3.0000,1359.0000,1.77%,+1.0000,1360.0000,1.77%,,1360.0000,1.77%,+5.0000,1365.0000,1.78%,+0.0046,1365.0046,1.78%,+4.0000,1369.0046,1.78%,+19.0000,1388.0046,1.81%,+16.0000,1404.0046,1.83%,+4.0000,1408.0046,1.84%,+33.0000,1441.0046,1.88%,+25.0000,1466.0046,1.91%,+7.0002,1473.0048,1.92%,+62.0007,1535.0055,2.00%,+20.0000,1555.0055,2.03%,+9.0001,1564.0056,2.04%,+29.0000,1593.0056,2.08%,+11.0001,1604.0057,2.09%,+134.0011,1738.0068,2.27%,+65.0002,1803.0070,2.35%,-1803.0070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Penkin,1092.0000,1.42%,,1092.0000,1.42%,+2.0000,1094.0000,1.43%,+2.0000,1096.0000,1.43%,+1.0000,1097.0000,1.43%,+6.0000,1103.0000,1.44%,+2.0000,1105.0000,1.44%,+0.0277,1105.0277,1.44%,,1105.0277,1.44%,+7.0001,1112.0278,1.45%,+7.0003,1119.0281,1.46%,+16.0000,1135.0281,1.48%,+8.0000,1143.0281,1.49%,+4.0001,1147.0282,1.50%,+6.0001,1153.0283,1.50%,+18.0003,1171.0286,1.53%,+17.0005,1188.0291,1.55%,+30.0006,1218.0297,1.59%,+31.0013,1249.0310,1.63%,-1249.0310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Toran,1052.0000,1.37%,+1.0000,1053.0000,1.37%,+3.0000,1056.0000,1.38%,+4.0000,1060.0000,1.38%,+2.0000,1062.0000,1.38%,+9.0000,1071.0000,1.40%,+2.0000,1073.0000,1.40%,+0.0173,1073.0173,1.40%,+1.0000,1074.0173,1.40%,+4.0000,1078.0173,1.41%,+5.0000,1083.0173,1.41%,+5.0000,1088.0173,1.42%,+9.0002,1097.0175,1.43%,+6.0000,1103.0175,1.44%,+5.0000,1108.0175,1.44%,+40.0006,1148.0181,1.50%,+24.0004,1172.0185,1.53%,+40.0008,1212.0193,1.58%,-1212.0193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloe Mason,979.0000,1.28%,+1.0000,980.0000,1.28%,+4.0000,984.0000,1.28%,+4.0000,988.0000,1.29%,+2.0000,990.0000,1.29%,+3.0000,993.0000,1.29%,+8.0000,1001.0000,1.30%,+0.0124,1001.0124,1.30%,+3.0000,1004.0124,1.31%,+7.0001,1011.0125,1.32%,+9.0003,1020.0128,1.33%,+9.0000,1029.0128,1.34%,+17.0000,1046.0128,1.36%,+45.0006,1091.0134,1.42%,+14.0001,1105.0135,1.44%,+84.0008,1189.0143,1.55%,+23.0001,1212.0144,1.58%,+29.0005,1241.0149,1.62%,+97.0005,1338.0154,1.74%,+14.0006,1352.0160,1.76%,-1352.0160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Callahan,888.0000,1.16%,+2.0000,890.0000,1.16%,+5.0000,895.0000,1.17%,+2.0000,897.0000,1.17%,+11.0000,908.0000,1.18%,+6.0000,914.0000,1.19%,+3.0000,917.0000,1.20%,+0.0164,917.0164,1.20%,+4.0001,921.0165,1.20%,+2.0000,923.0165,1.20%,+16.0000,939.0165,1.22%,+12.0001,951.0166,1.24%,+7.0000,958.0166,1.25%,+13.0000,971.0166,1.27%,+14.0000,985.0166,1.28%,+8.0000,993.0166,1.29%,+15.0000,1008.0166,1.31%,-1008.0166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moses Ross,578.0000,0.75%,+4.0000,582.0000,0.76%,+4.0000,586.0000,0.76%,+1.0000,587.0000,0.77%,+3.0000,590.0000,0.77%,+3.0000,593.0000,0.77%,+5.0000,598.0000,0.78%,+0.0090,598.0090,0.78%,+5.0000,603.0090,0.79%,+2.0002,605.0092,0.79%,+3.0000,608.0092,0.79%,+2.0000,610.0092,0.80%,+21.0000,631.0092,0.82%,+13.0000,644.0092,0.84%,+13.0001,657.0093,0.86%,+14.0000,671.0093,0.87%,-671.0093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciatta R Thompson,531.0000,0.69%,,531.0000,0.69%,+1.0000,532.0000,0.69%,+3.0000,535.0000,0.70%,+2.0000,537.0000,0.70%,+7.0000,544.0000,0.71%,+3.0000,547.0000,0.71%,+0.0062,547.0062,0.71%,+1.0000,548.0062,0.71%,+11.0000,559.0062,0.73%,+8.0000,567.0062,0.74%,+3.0000,570.0062,0.74%,+9.0000,579.0062,0.75%,+13.0004,592.0066,0.77%,+10.0001,602.0067,0.78%,-602.0067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raquel Coyote,317.0000,0.41%,+2.0000,319.0000,0.42%,,319.0000,0.42%,,319.0000,0.42%,+3.0000,322.0000,0.42%,+3.0000,325.0000,0.42%,+4.0000,329.0000,0.43%,+0.0028,329.0028,0.43%,+4.0000,333.0028,0.43%,+5.0000,338.0028,0.44%,+6.0000,344.0028,0.45%,+11.0000,355.0028,0.46%,+6.0000,361.0028,0.47%,-361.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike DiNapoli,315.0000,0.41%,,315.0000,0.41%,+1.0000,316.0000,0.41%,+2.0000,318.0000,0.41%,+2.0000,320.0000,0.42%,+3.0000,323.0000,0.42%,+4.0000,327.0000,0.43%,+0.0046,327.0046,0.43%,+1.0000,328.0046,0.43%,+6.0000,334.0046,0.44%,+29.0003,363.0049,0.47%,+3.0001,366.0050,0.48%,+13.0000,379.0050,0.49%,+7.0000,386.0050,0.50%,-386.0050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John J Goldsmith,313.0000,0.41%,,313.0000,0.41%,+3.0000,316.0000,0.41%,+7.0000,323.0000,0.42%,,323.0000,0.42%,+1.0000,324.0000,0.42%,,324.0000,0.42%,+0.0006,324.0006,0.42%,+3.0000,327.0006,0.43%,+1.0000,328.0006,0.43%,+5.0000,333.0006,0.43%,-333.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Henry,301.0000,0.39%,+1.0000,302.0000,0.39%,+1.0000,303.0000,0.39%,+1.0000,304.0000,0.40%,,304.0000,0.40%,+1.0000,305.0000,0.40%,+4.0000,309.0000,0.40%,+0.0025,309.0025,0.40%,+1.0000,310.0025,0.40%,+13.0001,323.0026,0.42%,+10.0001,333.0027,0.43%,+8.0000,341.0027,0.44%,-341.0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph (Joe) Alfone,257.0000,0.33%,,257.0000,0.33%,+1.0000,258.0000,0.34%,+2.0000,260.0000,0.34%,+3.0000,263.0000,0.34%,+2.0000,265.0000,0.35%,+3.0000,268.0000,0.35%,+0.0032,268.0032,0.35%,+2.0000,270.0032,0.35%,+2.0000,272.0032,0.35%,-272.0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncertified Write In,232.0000,0.30%,,232.0000,0.30%,,232.0000,0.30%,+1.0000,233.0000,0.30%,,233.0000,0.30%,,233.0000,0.30%,,233.0000,0.30%,+0.0006,233.0006,0.30%,-233.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Trimble,230.0000,0.30%,,230.0000,0.30%,,230.0000,0.30%,,230.0000,0.30%,+1.0000,231.0000,0.30%,+3.0000,234.0000,0.31%,+3.0000,237.0000,0.31%,+0.0019,237.0019,0.31%,,237.0019,0.31%,-237.0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelly Doyle,190.0000,0.25%,,190.0000,0.25%,+1.0000,191.0000,0.25%,,191.0000,0.25%,+2.0000,193.0000,0.25%,+3.0000,196.0000,0.26%,-196.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Farley,168.0000,0.22%,,168.0000,0.22%,,168.0000,0.22%,+1.0000,169.0000,0.22%,+2.0000,171.0000,0.22%,-171.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Cashman,101.0000,0.13%,+1.0000,102.0000,0.13%,+1.0000,103.0000,0.13%,+1.0000,104.0000,0.14%,-104.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Schwartz,100.0000,0.13%,,100.0000,0.13%,-100.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Odell,100.0000,0.13%,+1.0000,101.0000,0.13%,+1.0000,102.0000,0.13%,-102.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L Christopher Regis,23.0000,0.03%,-23.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual surplus,0,,,0,,,0,,,0,,,0,,,0,,,0,,+0.0818,0.0818,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,+1.9035,1.9853,,,0,,+0.2321,2.2174,
Inactive ballots,0,,+4.0000,4.0000,,+12.0000,16.0000,,+16.0000,32.0000,,+14.0000,46.0000,,+34.0000,80.0000,,+38.0000,118.0000,,+0.0710,118.0710,,+152.0001,270.0711,,+25.0000,295.0711,,+38.0001,333.0712,,+78.0001,411.0713,,+40.0003,451.0716,,+84.0002,535.0718,,+78.0007,613.0725,,+42.0001,655.0726,,+119.0009,774.0735,,+160.0013,934.0748,,+195.0016,1129.0764,,+213.0028,1342.0792,,+228.0023,1570.0815,,+466.0015,2036.0830,,+262.0013,2298.0843,,+383.0051,2681.0894,,+476.0070,3157.0964,,+1053.0126,4210.1090,,+1193.0211,5403.1301,,+1686.0236,7089.1537,,+3828.0790,10917.2327,,+765.0786,11682.3113,,+6440.4808,18122.7921,,+1051.9905,19174.7826,

* Tie resolved by lot in accordance with election law and reused in event of a recount.
"Election Threshold" is the number of votes sufficient for a candidate to be elected.
"Votes Transferred" are votes that come from a defeated candidate or from one who surpasses the election threshold.
